@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute bow_accel numeric
@attribute bow_accel2 {0,1,2,3,4,5}
@attribute volume numeric
@attribute volume2 {0,1,2,3,4,5}
@attribute notes numeric
@attribute notes2 {0,1,2,3,4,5}

@data
1990,'2024/04/24 13:40:46:521',3,-16,-9,-8,-0.76,-0.43,-0.38,-73,74,10465.136719,?,?,?,?,?,?
1991,'2024/04/24 13:40:46:527',3,-16,-9,-8,-0.76,-0.43,-0.38,-73,74,10465.136719,?,?,?,?,?,?
1992,'2024/04/24 13:40:46:529',3,-16,-9,-8,-0.76,-0.43,-0.38,-73,74,10465.136719,?,?,?,?,?,?
1993,'2024/04/24 13:40:46:539',3,-16,-9,-8,-0.76,-0.43,-0.38,-65,74,10465.136719,?,?,?,?,?,?
1994,'2024/04/24 13:40:46:550',3,-16,-9,-8,-0.76,-0.43,-0.38,-65,74,10465.136719,?,?,?,?,?,?
1995,'2024/04/24 13:40:46:552',3,-16,-9,-8,-0.76,-0.43,-0.38,-65,74,10465.136719,?,?,?,?,?,?
1996,'2024/04/24 13:40:46:559',3,-16,-9,-8,-0.76,-0.43,-0.38,-62,74,10465.136719,?,?,?,?,?,?
1997,'2024/04/24 13:40:46:573',3,-16,-9,-8,-0.76,-0.43,-0.38,-62,74,10465.136719,?,?,?,?,?,?
1998,'2024/04/24 13:40:46:575',3,-16,-9,-8,-0.76,-0.43,-0.38,-62,74,10465.136719,?,?,?,?,?,?
1999,'2024/04/24 13:40:46:579',3,-16,-9,-8,-0.76,-0.43,-0.38,-69,74,10465.136719,?,?,?,?,?,?
2000,'2024/04/24 13:40:46:597',3,-16,-9,-8,-0.76,-0.43,-0.38,-69,74,10465.136719,?,?,?,?,?,?
